Role	Applicable Attributes (and related rules)														
alert	- aria-atomic (state): Indicates whether assistive technologies will present all or only parts of the changed region based on the change notifications defined by the aria-relevant attribute. Should typically be set to true. &lt;br> - aria-live (state): Indicates that an element will be updated, and describes the types of updates the user agents, assistive technologies, and user can expect from the element. Should be set to assertive.														
alertdialog	- Inherits all rules and expected attributes of dialog. &lt;br> - Typically, focus is set to an element within the alertdialog upon appearance. &lt;br> - Should clearly convey important and usually time-sensitive information to the user.														
application	- Use sparingly and only when the content truly behaves like a desktop application, not a website. &lt;br> - Requires careful management of focus and keyboard navigation. &lt;br> - Consider using more specific roles if possible.														
article	- Use for self-contained content that could be syndicated or stand alone (e.g., a blog post, news article). &lt;br> - May have an associated aria-label or aria-labelledby if it doesn't have a clear heading.														
banner	- Should be used for the primary page header content, typically found at the top of the page. &lt;br> - Usually contains the site name or logo. &lt;br> - Only one banner landmark should be used per document.														
button	- Must be interactive and trigger an action when activated (e.g., via mouse click or keyboard press - Enter or Space). &lt;br> - Should have an accessible name, either through its text content or via aria-label or aria-labelledby. &lt;br> - aria-disabled (state): Indicates that the button is perceivable but not currently operable. &lt;br> - aria-expanded (state): Indicates if the button controls the expansion or collapse of another grouping element. &lt;br> - aria-pressed (state): Indicates if the button is currently pressed (for toggle buttons).														
caption	- Used to provide a descriptive title for a table or grid. &lt;br> - Should be referenced by the aria-labelledby attribute on the table or grid.														
cell	- A cell within a row in a table or grid. &lt;br> - May have aria-colindex and aria-rowindex to explicitly define its position within the table/grid if dynamic or complex. &lt;br> - If it's a header for a row or column, use rowheader or columnheader instead.														
checkbox	- Represents a checkable input that has three possible values: true, false, or mixed. &lt;br> - Must have an accessible name, usually provided by a <label> element or aria-labelledby. &lt;br> - aria-checked (state): Indicates the current checked state. &lt;br> - aria-readonly (state): Indicates that the user cannot modify the value of the checkbox. &lt;br> - aria-required (property): Indicates that the user must check the checkbox before submitting a form.														
columnheader	- A header cell for a column in a table or grid. &lt;br> - Should be within a row with the role="row" attribute. &lt;br> - Use scope="col" on native <th> elements instead when possible. &lt;br> - aria-sort (property): Indicates if and how the column is sorted.														
combobox	- Represents a selectable control that allows the user to choose one or more items from a dynamically displayed list of choices. &lt;br> - Must be associated with the controlled element (e.g., listbox, grid) using aria-controls. &lt;br> - Should have an accessible name, usually via a <label> or aria-labelledby. &lt;br> - aria-expanded (state): Indicates whether the associated popup is currently visible. &lt;br> - aria-autocomplete (property): Suggests what values might be entered by the user. &lt;br> - aria-activedescendant (property): Identifies the currently active descendant of the combobox.														
complementary	- Used for supporting content that is related to the main content but not essential (e.g., a sidebar, related links). &lt;br> - May have an aria-label or aria-labelledby to identify its purpose.														
contentinfo	- Should be used for the page footer content, typically found at the bottom of the page. &lt;br> - Often contains copyright information, links to privacy policies, etc. &lt;br> - Only one contentinfo landmark should be used per document.														
definition	- Provides a definition for a term. &lt;br> - Should be associated with the term it defines, often implicitly within a <dl> list. &lt;br> - May use aria-labelledby to explicitly associate with the term.														
dialog	- Represents an application window that is designed to interrupt the current processing of an application in order to prompt the user to enter information or require a response. &lt;br> - Should have an accessible name, typically via aria-labelledby referencing a heading within the dialog. &lt;br> - Focus management is crucial; focus should be set to the first interactive element within the dialog when it opens and should be trapped within the dialog until it is closed. &lt;br> - aria-modal (state): Indicates that elements outside the dialog are inert.														
directory	- Represents a list of references to members of a group, such as a table of contents. &lt;br> - Should be used for listing items, where each item might link to another part of the content. &lt;br> - Use <ul> or <ol> with appropriate list item semantics where possible.														
document	- The main content of a web page. &lt;br> - The <body> element usually has an implicit document role. &lt;br> - Use role="document" on an <iframe> element to indicate embedded content as a separate document.														
feed	- Represents a dynamic container where content is added and removed over time, similar to a live blog or social media feed. &lt;br> - Should use aria-live to indicate the dynamic nature of the content. &lt;br> - Individual items within the feed should have appropriate roles (e.g., article).														
figure	- Represents content that is often referenced as a single unit, such as an image with a caption, an illustration, a diagram, or a code snippet. &lt;br> - May have an associated figcaption element (which provides the accessible name) or use aria-labelledby or aria-label.														
form	- Represents a section of a document containing interactive controls for submitting information. &lt;br> - Should have an accessible name, either through a <label> associated with the first control or using aria-labelledby or aria-label.														
grid	- Represents an interactive grid containing rows and columns of cells, similar to a table but with interactive elements. &lt;br> - Should have an accessible name, typically via aria-labelledby referencing a related heading or using aria-label. &lt;br> - Requires robust keyboard navigation to move between cells. &lt;br> - May use aria-rowindex, aria-colindex, aria-rowcount, aria-colcount, aria-activedescendant, aria-selected, aria-readonly.														
gridcell	- A cell within a row of an interactive grid. &lt;br> - Must be focusable if it contains interactive content or if the cell itself is interactive. &lt;br> - May have aria-selected if the grid supports selection.														
group	- Used to semantically group related elements. &lt;br> - May have an aria-label or aria-labelledby to provide a label for the group. &lt;br> - Does not inherently affect focus or interaction.														
heading	- Represents a section heading. Use <h1> to <h6> elements for native heading semantics whenever possible. &lt;br> - aria-level (property): Indicates the hierarchical level of the heading if the native heading elements are not used.														
img	- Represents an image. Use the <img> element with an alt attribute to provide an accessible name whenever possible. &lt;br> - If using role="img" on a non-<img> element, provide an accessible name using aria-label or aria-labelledby. &lt;br> - aria-describedby (property): Can be used to provide a longer description of the image.														
link	- Represents a hyperlink. Use the <a> element with an href attribute for native link semantics whenever possible. &lt;br> - Should have clear and concise link text that describes the destination. &lt;br> - If using role="link" on a non-<a> element, ensure it is keyboard focusable (using tabindex="0") and has appropriate keyboard event handling (e.g., Enter key to activate). &lt;br> - aria-disabled (state): Indicates that the link is perceivable but not currently operable.														
list	- Represents a list of items. Use <ul> (unordered list) or <ol> (ordered list) elements for native list semantics whenever possible. &lt;br> - If using role="list" on a non-list element, its children should have the listitem role. &lt;br> - May have an aria-label or aria-labelledby to provide a label for the list.														
listbox	- Represents a list of options from which the user may select one or more items. &lt;br> - Should have an accessible name, typically via a <label> or aria-labelledby. &lt;br> - Requires keyboard navigation to move between options. &lt;br> - aria-multiselectable (property): Indicates whether multiple items can be selected. &lt;br> - aria-activedescendant (property): Identifies the currently focused option within the listbox. &lt;br> - aria-selected (state): Indicates which options are currently selected.														
listitem	- An item within a list or listbox. &lt;br> - Should be a child of an element with the list or listbox role.														
log	- A type of live region where new information is added in a meaningful order, and older information may disappear. Examples include chat logs or error logs. &lt;br> - Should have aria-live set to polite or assertive depending on the urgency of the updates. &lt;br> - aria-atomic (state): May be relevant depending on how updates should be presented.														
main	- Identifies the primary content of the document. &lt;br> - Only one main landmark should be used per document.														
